population,households,median_income,median_house_value,total_bedrooms,total_rooms,latitude,longitude,housing_median_age
4272,1354,135500.0,379400.0,1370,1370,35.8317068,-78.9073267,9.0
4076,1296,137214.0,319000.0,1296,1296,35.831924799999996,-78.89025059999999,9.0
4243,1594,110347.0,397700.0,1707,1707,35.803783700000004,-78.8618008,16.0
2240,699,187917.0,473800.0,699,699,35.797183200000006,-78.85307790000002,14.0
2694,1002,122083.0,436200.0,1034,1034,35.8023518,-78.8438336,20.0
1658,867,71514.0,245000.0,983,983,35.813668299999996,-78.838178,25.0
9808,3444,110729.0,304600.0,3627,3627,35.8293547,-78.83833059999999,14.0
5316,1861,118281.0,343600.0,1929,1929,35.8545012,-78.85439140000001,9.0
839,397,63750.0,291700.0,464,464,35.853215399999996,-78.8222844,14.0
673,263,140938.0,436600.0,276,276,35.947888,-78.5968173,32.0
1908,712,115208.0,375500.0,874,874,35.9369198,-78.6528267,33.0
1838,799,99861.0,437300.0,799,799,35.907755200000004,-78.66746450000001,25.0
2196,773,163688.0,424900.0,842,842,35.922529299999994,-78.6658271,34.0
1059,384,160000.0,590600.0,384,384,35.912494,-78.6350538,25.0
1295,456,172813.0,590400.0,485,485,35.899115,-78.6385677,25.0
1982,731,130104.0,485600.0,786,786,35.93043170000001,-78.61316240000001,25.0
690,261,147614.0,558600.0,332,332,35.9079833,-78.60996390000001,29.0
1815,621,112375.0,349300.0,701,701,36.027143,-78.587712,19.0
3548,1138,167206.0,562500.0,1176,1176,35.9866777,-78.582352,17.0
1538,882,31294.0,158000.0,1333,1333,35.8660736,-78.6254114,39.0
1170,578,44968.0,247300.0,637,637,35.8589135,-78.6124148,42.0
1461,666,56412.0,139700.0,686,686,35.8575646,-78.60431949999999,34.0
1013,401,37686.0,137000.0,555,555,35.8524594,-78.61056620000001,46.0
1021,392,114483.0,244000.0,392,392,35.8696194,-78.6340327,40.0
2050,866,70625.0,295800.0,943,943,35.891928899999996,-78.64438170000001,31.0
2366,889,34771.0,74700.0,918,918,35.8526074,-78.5757025,34.0
